,max_Df under fixed Ci ratio,min_Df under fixed Ci ratio,diff under fixed Ci ratio
ECOAH8_reverse,27.988720981565006,-26.66872098156501,54.65744196313001
EDA,49.24654929302501,-32.739613651670005,81.98616294469502
EDD,70.42872098156501,15.771279018434996,54.65744196313001
ENO,31.428720981565007,-23.228720981565004,54.65744196313001
ENO_reverse,23.228720981565004,-31.428720981565007,54.65744196313001
ENTCS,270.89015420085,-48.75301683050513,319.64317103135517
ETHAAL,101.146549293025,19.160386348329993,81.98616294469501
ENTERES,272.164377604485,162.849493678225,109.31488392626002
F1PP,75.24654929302501,-6.739613651670005,81.98616294469502
F6PA,46.14654929302501,-35.83961365167001,81.98616294469502
F6PA_reverse,35.83961365167001,-46.14654929302501,81.98616294469502
FACOAE120,89.74654929302501,7.760386348329995,81.98616294469502
F6PP,76.54654929302501,-5.439613651670005,81.98616294469501
FACOAE100,89.74654929302501,7.760386348329995,81.98616294469502
FACOAE140,89.74654929302501,7.760386348329995,81.98616294469502
FACOAE141,89.74654929302501,7.760386348329995,81.98616294469502
FACOAE160,89.94654929302502,7.960386348329994,81.98616294469502
FACOAE181,89.74654929302501,7.760386348329995,81.98616294469502
FACOAE161,89.94654929302502,7.960386348329994,81.98616294469502
FACOAE180,92.646549293025,10.660386348329993,81.98616294469501
FACOAE60,89.74654929302501,7.760386348329995,81.98616294469502
FACOAE80,89.74654929302501,7.760386348329995,81.98616294469502
FADRx,32.69035402673336,-21.967087936396656,54.65744196313001
FADRx2,45.567087936396646,-9.090354026733362,54.65744196313001
FALDH2,53.267087936396656,-1.3903540267333554,54.65744196313001
FALDH2_reverse,1.3903540267333554,-53.267087936396656,54.65744196313001
FBA,44.74654929302501,-37.239613651670005,81.98616294469502
FALGTHLs,28.93961365167,-53.04654929302501,81.98616294469501
FALGTHLs_reverse,53.04654929302501,-28.93961365167,81.98616294469501
FBA_reverse,37.239613651670005,-44.74654929302501,81.98616294469502
FBA3,52.24654929302501,-29.739613651670005,81.98616294469502
FBA3_reverse,29.739613651670005,-52.24654929302501,81.98616294469502
FBP,76.146549293025,-5.839613651670007,81.98616294469501
FCI,21.848720981565005,-32.808720981565,54.65744196313001
FCI_reverse,32.808720981565,-21.848720981565005,54.65744196313001
FCLK,54.06708793639665,-0.5903540267333618,54.65744196313001
FCLPA_reverse,37.03961365167001,-44.946549293025015,81.98616294469502
FE3Ri,271.986162944695,108.013837055305,163.97232588939002
FCLPA,44.946549293025015,-37.03961365167001,81.98616294469502
FHL,74.47728966291501,2.004746837822996,72.47254282509202
FLDR2,44.995808917961654,-64.31907500829837,109.31488392626002
FLVRx,4.090354026733355,-50.56708793639665,54.65744196313001
FLVR,16.96708793639665,-37.69035402673337,54.65744196313001
FMNAT,68.05744196313,-35.31907500829836,103.37651697142837
FMNRx,40.19035402673336,-14.467087936396656,54.65744196313001
FMNRx2,53.067087936396646,-1.5903540267333582,54.657441963130005
FORCT,53.05744196313001,-56.25744196313002,109.31488392626002
FORCT_reverse,56.25744196313002,-53.05744196313001,109.31488392626002
FRD3,69.15744196313001,-40.15744196313001,109.31488392626002
FRD2,69.15744196313001,-40.15744196313001,109.31488392626002
FRULYSDG,60.93654929302501,-21.049613651670008,81.98616294469502
FRULYSDG_reverse,21.049613651670008,-60.93654929302501,81.98616294469502
FRUK,50.06708793639665,-4.590354026733362,54.65744196313001
FRULYSE,27.428720981565007,-27.228720981565004,54.65744196313001
FRULYSE_reverse,27.228720981565004,-27.428720981565007,54.65744196313001
FRULYSK,43.56708793639665,-11.090354026733362,54.65744196313001
FTHFD,89.146549293025,7.160386348329993,81.98616294469501
FTHFLi,64.69580891796166,-44.61907500829836,109.31488392626002
FUM,30.728720981565004,-23.928720981565007,54.65744196313001
FUM_reverse,23.928720981565007,-30.728720981565004,54.65744196313001
G1PACT,73.15744196313001,-36.15744196313001,109.31488392626002
G1PTT,55.25744196313001,-54.05744196313,109.31488392626002
G1SAT,35.128720981565,-19.528720981565005,54.65744196313001
G1PP,80.94654929302502,-1.0396136516700025,81.98616294469502
G1SAT_reverse,19.528720981565005,-35.128720981565,54.65744196313001
G3PD2,-3.009645973266636,-57.667087936396655,54.65744196313002
G2PP,88.146549293025,6.160386348329993,81.98616294469501
G3PD2_reverse,57.667087936396655,3.009645973266636,54.65744196313002
G3PD5,112.95744196313001,3.6425580368699855,109.31488392626002
G3PD6,76.85744196313001,-32.45744196313001,109.31488392626002
G3PD7,76.85744196313001,-32.45744196313001,109.31488392626002
G3PT,75.34654929302502,-6.639613651670004,81.98616294469502
G5SADs,18.528720981565005,-36.12872098156501,54.65744196313001
G6PDH2r_reverse,28.067087936396646,-26.590354026733362,54.65744196313001
G5SD,77.58491624785665,-4.4012466968383634,81.98616294469502
G6PDA,62.04654929302501,-19.939613651670005,81.98616294469501
G6PP,73.54654929302501,-8.439613651670005,81.98616294469501
G6PDH2r,26.590354026733362,-28.067087936396646,54.65744196313001
GALCTD,69.228720981565,14.571279018434993,54.65744196313001
GALCTLO,18.767087936396656,-35.890354026733355,54.65744196313001
GALKr,46.76708793639665,-7.8903540267333625,54.65744196313001
GALCTND,69.228720981565,14.571279018434993,54.65744196313001
GALKr_reverse,7.8903540267333625,-46.76708793639665,54.65744196313001
GALS3,75.44654929302502,-6.539613651670006,81.98616294469502
GALT1,71.25744196313002,-38.05744196313001,109.31488392626002
GAPD,18.777980606501657,-63.20818233819335,81.98616294469501
GALUi,53.15744196313001,-56.15744196313001,109.31488392626002
GAPD_reverse,63.20818233819335,-18.777980606501657,81.98616294469501
GAPP,67.54654929302501,-14.439613651670005,81.98616294469501
GARFT_reverse,56.95744196313001,-52.357441963130015,109.31488392626002
GART,62.39580891796165,-46.91907500829837,109.31488392626002
GARFT,52.357441963130015,-56.95744196313001,109.31488392626002
GCALDD,97.76708793639665,43.109645973266645,54.657441963130005
GDMANE,26.52872098156501,-28.128720981565007,54.65744196313001
GDPDPK,35.86708793639665,-18.79035402673336,54.65744196313001
GDPMNH,82.94654929302502,0.9603863483299939,81.98616294469502
GDPMNP,97.54654929302501,15.560386348329992,81.98616294469502
GGGABADr,63.090354026733365,8.432912063603354,54.65744196313001
GF6PTA,68.35744196313001,-40.95744196313001,109.31488392626002
GGGABADr_reverse,-8.432912063603354,-63.090354026733365,54.65744196313001
GGPTRCO,174.398536364896,49.631665366764985,124.766870998131
GGGABAH,81.24654929302501,-0.7396136516700054,81.98616294469502
GGPTRCS,81.39580891796166,-27.91907500829837,109.31488392626002
GHBDHx_reverse,35.96708793639666,-18.69035402673336,54.65744196313002
GHBDHx,18.69035402673336,-35.96708793639666,54.65744196313002
GHMT2r,61.25744196313001,-48.05744196313,109.31488392626002
GHMT2r_reverse,48.05744196313,-61.25744196313001,109.31488392626002
GK1,35.86708793639665,-18.79035402673336,54.65744196313001
GLCATr_reverse,53.15744196313001,-56.15744196313001,109.31488392626002
GK1_reverse,18.79035402673336,-35.86708793639665,54.65744196313001
GLCATr,56.15744196313001,-53.15744196313001,109.31488392626002
GLCP,9.439613651670005,-72.54654929302501,81.98616294469501
GLCRAL,42.946549293025015,-39.03961365167001,81.98616294469502
GLCP2,9.439613651670005,-72.54654929302501,81.98616294469501
GLCS1,77.74654929302501,1.698753303161638,76.04779598986337
GLCRD,69.228720981565,14.571279018434993,54.65744196313001
GLCTR1,67.45744196313001,-41.857441963130015,109.31488392626002
GLCTR3,67.45744196313001,-41.857441963130015,109.31488392626002
GLGC,61.75744196313001,-41.61907500829836,103.37651697142837
GLNS,77.59580891796165,-31.71907500829837,109.31488392626002
GLTPD,21.96708793639666,-32.69035402673336,54.65744196313002
GLU5K,6.467087936396652,-48.19035402673337,54.65744196313002
GLTPD_reverse,32.69035402673336,-21.96708793639666,54.65744196313002
GLUDy,22.80818233819337,-63.32872098154965,86.13690331974303
GLUCYS,93.79580891796166,-15.519075008298366,109.31488392626002
GLUN,76.24654929302501,-5.739613651670005,81.98616294469502
GLUDC,90.99728966291502,18.524746837823,72.47254282509202
GLUDy_reverse,63.32872098154965,-22.80818233819337,86.13690331974303
GLUPRT,149.17527027459002,12.53166536676499,136.64360490782502
GLUR,27.928720981565007,-26.728720981565004,54.65744196313001
GLUR_reverse,26.728720981565004,-27.928720981565007,54.65744196313001
GLUSy,112.24654929300965,-1.2190750082983612,113.46562430130801
GLYAT,17.857441963130015,-91.45744196313001,109.31488392626002
GLYAT_reverse,91.45744196313001,-17.857441963130015,109.31488392626002
GLXCL,75.60818233302001,-24.193081473637008,99.80126380665702
GLYCK,46.76708793639665,-7.8903540267333625,54.65744196313001
GLYCDx,11.567087936396657,-43.09035402673335,54.65744196313001
GLYCK2,42.567087936396646,-12.090354026733358,54.657441963130005
GLYCLTDy,75.96708793639665,21.30964597326664,54.65744196313001
GLYCLTDx,63.090354026733365,8.432912063603347,54.65744196313002
GLYCTO2,94.75744196313002,-14.55744196313001,109.31488392626002
GLYCTO3,58.70744196313001,-50.607441963130015,109.31488392626002
GLYCL,79.66437759931168,-47.465607188910354,127.12998478822203
GLYCTO4,58.75744196313002,-50.55744196313001,109.31488392626002
GLYK,51.26708793639665,-3.3903540267333625,54.65744196313001
GLYOX3,83.62872098156501,28.97127901843499,54.65744196313002
GMHEPAT,64.35744196313001,-39.01907500829836,103.37651697142837
GLYOX,97.646549293025,15.660386348329993,81.98616294469501
GMAND,83.42872098156501,28.771279018434996,54.65744196313001
GMHEPPA,74.206549293025,-7.7796136516700045,81.98616294469501
GMHEPK,42.607087936396645,-12.050354026733363,54.65744196313001
GND,51.758922708083375,-20.713620117008645,72.47254282509202
GNK,45.86708793639665,-8.790354026733361,54.65744196313001
GNP,73.54654929302501,-8.439613651670005,81.98616294469501
GPDDA3,74.94654929302502,-7.039613651670006,81.98616294469502
GP4GH,104.84654929302502,22.860386348329996,81.98616294469502
GPDDA1,72.84654929302502,-9.139613651670004,81.98616294469502
GOFUCR,37.76708793639665,-16.890354026733363,54.65744196313001
GPDDA2,68.04654929302501,-13.939613651670005,81.98616294469501
GPDDA4,75.34654929302502,-6.639613651670004,81.98616294469502
GRTT,129.75744196313,20.442558036869983,109.31488392626001
GRXR,38.86833463323501,-97.77527027459001,136.64360490782502
GSNK,56.36708793639665,1.709645973266639,54.65744196313001
GTHOr_reverse,-3.2987533031616394,-85.28491624785666,81.98616294469502
GSPMDS,85.99580891796165,-23.31907500829837,109.31488392626002
GSPMDA,67.84654929302502,-14.139613651670004,81.98616294469502
GTHOr,85.28491624785666,3.2987533031616394,81.98616294469502
GTHPi,317.150506321775,207.83562239551497,109.31488392626005
GUACYC,59.64654929302501,-22.339613651670007,81.98616294469502
GTHS,87.69580891796167,-21.619075008298367,109.31488392626004
GUAPRT,85.05744196313,-24.257441963130013,109.31488392626002
GTPHs,119.746549293025,37.760386348329995,81.986162944695
GTPDPDP,90.84654929302502,8.860386348329996,81.98616294469502
GUI1_reverse,27.928720981565007,-26.728720981565004,54.65744196313001
GUI2,25.928720981565007,-28.728720981565004,54.65744196313001
GUI2_reverse,28.728720981565004,-25.928720981565007,54.65744196313001
GUI1,26.728720981565004,-27.928720981565007,54.65744196313001
H2SO,782.397038502387,696.835622395515,85.561416106872
HACD1_reverse,18.167087936396655,-36.49035402673336,54.65744196313001
HACD2,43.09035402673335,-11.567087936396657,54.65744196313001
HACD2_reverse,11.567087936396657,-43.09035402673335,54.65744196313001
HACD1,36.49035402673336,-18.167087936396655,54.65744196313001
HACD3_reverse,15.567087936396657,-39.09035402673335,54.65744196313001
HACD3,39.09035402673335,-15.567087936396657,54.65744196313001
HACD4,39.09035402673335,-15.567087936396657,54.65744196313001
HACD4_reverse,15.567087936396657,-39.09035402673335,54.65744196313001
HACD5,39.09035402673335,-15.567087936396657,54.65744196313001
HACD5_reverse,15.567087936396657,-39.09035402673335,54.65744196313001
HACD6,39.09035402673335,-15.567087936396657,54.65744196313001
HACD7,39.09035402673335,-15.567087936396657,54.65744196313001
HACD6_reverse,15.567087936396657,-39.09035402673335,54.65744196313001
HACD7_reverse,15.567087936396657,-39.09035402673335,54.65744196313001
HACD8,41.99035402673336,-12.667087936396655,54.65744196313001
HACD8_reverse,12.667087936396655,-41.99035402673336,54.65744196313001
HADPCOADH3,15.46708793639666,-39.19035402673336,54.65744196313002
HADPCOADH3_reverse,39.19035402673336,-15.46708793639666,54.65744196313002
HBZOPT,132.75744196313,23.442558036869983,109.31488392626001
HCO3E,4.212373421335897,4.212373421335897,0.0
HCO3E_reverse,-4.212373421335897,-4.212373421335897,0.0
HEX1,53.06708793639665,-1.5903540267333618,54.65744196313001
HEX4,52.56708793639665,-2.090354026733362,54.65744196313001
HEX7,50.467087936396645,-4.190354026733363,54.65744196313001
HISTD,52.10545489122831,-2.5519870719016993,54.65744196313001
HISTP,83.44654929302502,1.4603863483299975,81.98616294469502
HKNDDH,120.04654929302501,38.06038634832999,81.98616294469502
HKNTDH,120.146549293025,38.16038634833,81.986162944695
HMBS,275.23271223772,29.274223403634977,245.95848883408505
HMPK1,47.86708793639665,-6.790354026733361,54.65744196313001
HOPNTAL,54.54654929302501,-27.439613651670005,81.98616294469501
HPPK2,44.86708793639665,-9.790354026733361,54.65744196313001
HPPPNDO,265.262879741976,195.15345070697498,70.10942903500103
HPYRI_reverse,28.728720981565004,-25.928720981565007,54.65744196313001
HPYRP,82.54654929302501,0.5603863483299918,81.98616294469502
HPYRI,25.928720981565007,-28.728720981565004,54.65744196313001
HPYRRx,50.390354026733355,-4.267087936396656,54.65744196313001
HPYRRy,63.26708793639665,8.609645973266637,54.65744196313001
HSDy_reverse,54.26708793639665,-0.3903540267333625,54.65744196313001
HSDy,0.3903540267333625,-54.26708793639665,54.65744196313001
HSST,78.85744196313001,-30.45744196313001,109.31488392626002
HSTPT,46.65744196313001,-66.80818233817801,113.46562430130803
HSK,66.56708793639666,11.909645973266635,54.657441963130026
HYPOE,77.84654929302502,-4.139613651670004,81.98616294469502
HXAND,18.867087936396658,-35.790354026733354,54.65744196313001
HXCT,59.647441963130014,-49.66744196313001,109.31488392626002
HXPRT,83.05744196313,-26.257441963130013,109.31488392626002
ICDHyr,56.55892270808337,-20.064360492056643,76.62328320014001
ICHORS_copy2_reverse,28.328720981565006,-26.328720981565006,54.65744196313001
ICDHyr_reverse,20.064360492056643,-56.55892270808337,76.62328320014001
ICHORS_copy1,26.328720981565006,-28.328720981565006,54.65744196313001
ICHORS_copy2,26.328720981565006,-28.328720981565006,54.65744196313001
ICHORT,108.646549293025,26.660386348329993,81.98616294469501
ICL,56.04654929302501,-25.93961365167,81.98616294469501
IDOND,39.19035402673336,-15.467087936396656,54.65744196313001
ILETA,63.50818233817802,-49.95744196313001,113.46562430130803
IDOND2,52.067087936396646,-2.5903540267333582,54.657441963130005
IDOND_reverse,15.467087936396656,-39.19035402673336,54.65744196313001
IGPDH,69.02872098156502,14.371279018434997,54.65744196313002
IGPS,151.997289662915,79.52474683782299,72.472542825092
ILETA_reverse,49.95744196313001,-63.50818233817802,113.46562430130803
IMPD,14.067087936396653,-40.59035402673335,54.657441963130005
IMPC,9.028720981565005,-45.62872098156501,54.65744196313001
IMPC_reverse,45.62872098156501,-9.028720981565005,54.65744196313001
INSH,68.74654929302501,-13.239613651670005,81.98616294469502
INOSTO,419.46287974197605,349.35345070697497,70.10942903500109
INOSTO_reverse,-349.35345070697497,-419.46287974197605,70.10942903500109
IPDDI,32.228720981565004,-22.428720981565007,54.65744196313001
IPDDI_reverse,22.428720981565007,-32.228720981565004,54.65744196313001
INSK,56.56708793639665,1.9096459732666382,54.65744196313001
IPDPS,82.89035402673335,28.232912063603344,54.657441963130005
IPMD,15.467087936396656,-39.19035402673336,54.65744196313001
IPPMIa_reverse,24.128720981565003,-30.528720981565005,54.65744196313001
IPPMIb,30.52872098156501,-24.128720981565007,54.65744196313001
IPPMIa,30.528720981565005,-24.128720981565003,54.65744196313001
IPPMIb_reverse,24.128720981565007,-30.52872098156501,54.65744196313001
IPPS,82.85744196313001,-26.45744196313001,109.31488392626002
KARA1,2.590354026733362,-52.067087936396646,54.65744196313001
KARA2,54.86708793639665,0.20964597326663892,54.65744196313001
KARA1_reverse,52.067087936396646,-2.590354026733362,54.65744196313001
KARA2_reverse,-0.20964597326663892,-54.86708793639665,54.65744196313001
KDOCT2,92.65744196313,-16.65744196313001,109.31488392626001
KDOPP,76.44654929302502,-5.539613651670006,81.98616294469502
KDOPS,118.35744196313001,9.042558036869991,109.31488392626002
KDUI,29.828720981565006,-24.828720981565006,54.65744196313001
KG6PDC,78.59728966291502,6.124746837822997,72.47254282509202
L_LACD2,111.85744196313001,2.542558036869991,109.31488392626002
L_LACD3,75.85744196313001,-33.45744196313001,109.31488392626002
LACZ,75.646549293025,-6.339613651670007,81.98616294469501
LALDO2x,36.49035402673336,-18.167087936396655,54.65744196313001
LALDO3,42.067087936396646,-12.590354026733362,54.65744196313001
LALGP,66.84654929302502,-15.139613651670004,81.98616294469502
LCADi,84.76708793639665,30.109645973266637,54.65744196313001
LCARS,48.890354026733355,-5.767087936396656,54.65744196313001
LCARS_reverse,5.767087936396656,-48.890354026733355,54.65744196313001
LCARSyi,5.767087936396649,-48.89035402673336,54.65744196313001
LDH_D,11.667087936396655,-42.99035402673336,54.65744196313001
LDH_D_reverse,42.99035402673336,-11.667087936396655,54.65744196313001
LDH_D2,114.95744196313001,5.6425580368699855,109.31488392626002
LEUTAi,53.45744196313001,-60.00818233817801,113.46562430130803
LKDRA,46.74654929302501,-35.239613651670005,81.98616294469502
LGTHL,40.739613651670005,-41.24654929302501,81.98616294469502
LPADSS,78.35744196313001,-30.95744196313001,109.31488392626002
LSERDHr,3.3903540267333625,-51.26708793639665,54.65744196313001
LSERDHr_reverse,51.26708793639665,-3.3903540267333625,54.65744196313001
LKDRA_reverse,35.239613651670005,-46.74654929302501,81.98616294469502
LYSAM,31.928720981565007,-22.728720981565004,54.65744196313001
LYSAM_reverse,22.728720981565004,-31.928720981565007,54.65744196313001
LYSDC,91.297289662915,18.824746837822996,72.472542825092
M1PD,24.967087936396656,-29.69035402673336,54.65744196313001
M1PD_reverse,29.69035402673336,-24.967087936396656,54.65744196313001
LYXI,14.628720981565007,-40.028720981565,54.65744196313001
MALS,90.25744196313002,-19.05744196313001,109.31488392626002
MALTATr,57.357441963130015,-51.95744196313001,109.31488392626002
MALDDH,52.63565661774666,-19.836886207345348,72.472542825092
MALTATr_reverse,51.95744196313001,-57.357441963130015,109.31488392626002
MAN6PI,28.028720981565005,-26.628720981565003,54.65744196313001
MAN1PT2,47.857441963130015,-61.45744196313001,109.31488392626002
MC6PH,95.646549293025,13.660386348329993,81.98616294469501
MAN6PI_reverse,26.628720981565003,-28.028720981565005,54.65744196313001
MANAO_reverse,32.59035402673335,-22.067087936396657,54.65744196313001
MANAO,22.067087936396657,-32.59035402673335,54.65744196313001
MANPGH,75.24654929302501,-6.739613651670005,81.98616294469502
MCITL2,55.34654929302502,-26.639613651670004,81.98616294469502
MCITD,28.128720981565007,-26.52872098156501,54.65744196313001
MCITL2_reverse,26.639613651670004,-55.34654929302502,81.98616294469502
MDH_reverse,48.890354026733355,-5.767087936396656,54.65744196313001
MCITS,96.75744196313002,-12.55744196313001,109.31488392626002
MCPST,136.55744196313,27.24255803687,109.31488392626
MDH,5.767087936396656,-48.890354026733355,54.65744196313001
MDH2,109.05744196313,-0.257441963130006,109.31488392626001
MDH3,72.95744196313001,-36.357441963130015,109.31488392626002
ME1,61.835656617746665,-10.636886207345352,72.47254282509202
METNA,85.15744196313001,-24.15744196313001,109.31488392626002
ME2,48.95892270808337,-23.513620117008646,72.47254282509202
MEPCT,58.65744196313001,-50.65744196313001,109.31488392626002
MGSA,120.84654929302502,38.86038634832999,81.98616294469502
METNA_reverse,24.15744196313001,-85.15744196313001,109.31488392626002
MI1PP,85.04654929302501,3.0603863483299953,81.98616294469501
METS,64.65744196313001,-44.65744196313001,109.31488392626002
MICITDr_reverse,28.128720981565007,-26.52872098156501,54.65744196313001
MLTG2,78.146549293025,-3.839613651670007,81.98616294469501
MLTG3,78.146549293025,-3.839613651670007,81.98616294469501
MICITDr,26.52872098156501,-28.128720981565007,54.65744196313001
MLTG4,78.146549293025,-3.839613651670007,81.98616294469501
MLTG1,77.646549293025,-4.339613651670007,81.98616294469501
MLTG5,78.146549293025,-3.839613651670007,81.98616294469501
MLTP1,51.857441963130015,-57.45744196313001,109.31488392626002
MLTP1_reverse,57.45744196313001,-51.857441963130015,109.31488392626002
MLTP2,51.857441963130015,-57.45744196313001,109.31488392626002
MLTP3,51.857441963130015,-57.45744196313001,109.31488392626002
MLTP3_reverse,57.45744196313001,-51.857441963130015,109.31488392626002
MLTP2_reverse,57.45744196313001,-51.857441963130015,109.31488392626002
MMCD,85.59728966291502,13.124746837822997,72.47254282509202
MMM,19.758720981565006,-34.898720981565006,54.65744196313001
MN6PP,74.34654929302502,-7.639613651670004,81.98616294469502
MNNH,64.728720981565,10.071279018434993,54.65744196313001
MOX,129.48070805343602,32.04255803686999,97.43815001656603
MOHMT,49.05744196313001,-60.25744196313002,109.31488392626002
MPTAT,66.95744196313001,-36.419075008298364,103.37651697142837
MTAN,76.44654929302502,-5.539613651670006,81.98616294469502
MTHFC_reverse,21.528720981565005,-33.128720981565,54.65744196313001
MSAR,55.26708793639665,0.6096459732666375,54.65744196313001
MTHFC,33.128720981565,-21.528720981565005,54.65744196313001
MTHFD,13.390354026733363,-41.26708793639665,54.65744196313001
MTRPOX,124.79853636489602,0.03166536676499021,124.76687099813103
MTHFD_reverse,41.26708793639665,-13.390354026733363,54.65744196313001
MTHFR2,56.390354026733355,1.7329120636033437,54.65744196313001
NADH10,69.99035402673336,15.332912063603345,54.65744196313001
NADDP,105.94654929302502,35.83712025799329,70.10942903503172
NADH5,106.09035402673337,51.43291206360335,54.65744196313002
NADH9,67.19035402673336,12.53291206360334,54.65744196313002
NADHHS,-7.409645973266638,-56.12872098156501,48.719075008298375
NADHHR,-7.409645973266638,-56.12872098156501,48.719075008298375
NADHXE,27.328720981565006,-27.328720981565006,54.65744196313001
NADHPO,307.57252571527334,280.2438047337083,27.328720981565027
NADHXD,120.44654929302502,44.39875330316164,76.04779598986337
NADHXE_reverse,27.328720981565006,-27.328720981565006,54.65744196313001
NADK,47.66708793639665,4.88637988292993,42.78070805346672
NADPHQR2,118.96708793639667,64.30964597326664,54.657441963130026
NADN,104.146549293025,28.098753303161644,76.04779598986336
NADPHHR,-1.4712790184349949,-50.19035402673336,48.71907500829836
NADPHHS,-1.4712790184349949,-50.19035402673336,48.71907500829836
NADPHXE,27.328720981565006,-27.328720981565006,54.65744196313001
NADPHXE_reverse,27.328720981565006,-27.328720981565006,54.65744196313001
NADPHQR3,82.86708793639664,28.20964597326664,54.657441963130005
NADPPPS,66.96981538336172,-3.139613651670004,70.10942903503172
NADPHQR4,80.06708793639665,25.409645973266635,54.65744196313001
NADTRHD,12.876733909663294,12.876733909663294,0.0
NADPHXD,114.50818233819336,38.46038634833,76.04779598986337
NAMNPP,127.81363722942166,-8.829967678403367,136.64360490782502
NADS1,75.55744196313,-27.81907500829837,103.37651697142837
NDP7,88.646549293025,6.660386348329993,81.98616294469501
NDPK1,35.76708793639665,-18.890354026733363,54.65744196313001
NDPK1_reverse,18.890354026733363,-35.76708793639665,54.65744196313001
NDP3,90.74654929302501,8.760386348329995,81.98616294469502
NDPK2,35.86708793639665,-18.79035402673336,54.65744196313001
NDPK2_reverse,18.79035402673336,-35.86708793639665,54.65744196313001
NDPK3,33.76708793639665,-20.890354026733363,54.65744196313001
NDPK3_reverse,20.890354026733363,-33.76708793639665,54.65744196313001
NDPK4_reverse,23.990354026733364,-30.667087936396648,54.65744196313001
NDPK4,30.667087936396648,-23.990354026733364,54.65744196313001
NDPK5,35.86708793639665,-18.79035402673336,54.65744196313001
NDPK5_reverse,18.79035402673336,-35.86708793639665,54.65744196313001
NDPK6,31.76708793639665,-22.890354026733363,54.65744196313001
NDPK7,28.967087936396652,-25.690354026733367,54.65744196313002
NDPK6_reverse,22.890354026733363,-31.76708793639665,54.65744196313001
NDPK7_reverse,25.690354026733367,-28.967087936396652,54.65744196313002
